window,i_start,i_end,depth,mean_soc,count
10-90%,1656,1696,0.8000000000000003,0.5000000000000001,0.5
10-90%,1698,1699,5.921189464667501e-17,0.09999999999999995,1.0
10-90%,1707,1716,0.47696961539728866,0.3384848076986443,1.0
10-90%,1720,1724,0.47696961539728866,0.6615151923013557,1.0
10-90%,1696,1701,0.8000000000000003,0.5000000000000001,0.5
10-90%,1731,1733,1.8947806286936006e-16,0.9,1.0
10-90%,1738,1739,0.3473622504078902,0.726318874796055,1.0
10-90%,1735,1736,0.4014633723885724,0.699268313805714,1.0
10-90%,1701,1743,0.8000000000000003,0.5000000000000001,0.5
10-90%,1759,1760,0.5241424022194038,0.4474069210272668,1.0
10-90%,1747,1769,0.6857781467813379,0.44288907339066885,1.0
10-90%,1743,1771,0.8000000000000003,0.5000000000000001,0.5
10-90%,1771,1782,0.8000000000000003,0.5000000000000001,0.5
10-90%,1782,1784,0.8000000000000003,0.5000000000000001,0.5
10-90%,1798,1799,0.005713288092145336,0.10285664404607266,1.0
10-90%,1811,1813,0.07056551624145281,0.8647172418792737,1.0
10-90%,1793,1803,0.8000000000000002,0.5000000000000001,1.0
10-90%,1784,1817,0.8000000000000003,0.5000000000000001,0.5
10-90%,1817,1821,0.8000000000000003,0.5000000000000001,0.5
10-90%,1835,1841,0.8,0.5,1.0
10-90%,1821,1830,0.8000000000000003,0.5000000000000001,0.5
10-90%,1845,1846,5.921189464667501e-17,0.09999999999999995,1.0
10-90%,1855,1865,0.29876840127797094,0.2493842006389854,1.0
10-90%,1869,1870,5.921189464667501e-17,0.09999999999999995,1.0
10-90%,1871,1872,5.921189464667501e-17,0.09999999999999995,1.0
10-90%,1873,1875,0.40000198921569513,0.30000099460784746,1.0
10-90%,1880,1885,0.47696961539728866,0.3384848076986443,1.0
10-90%,1893,1894,0.006285738444958232,0.8968571307775209,1.0
10-90%,1830,1876,0.8000000000000003,0.5000000000000001,0.5
10-90%,1876,1902,0.8000000000000003,0.5000000000000001,0.5
10-90%,1926,1935,9.473903143468003e-17,0.6311719754687521,1.0
10-90%,1915,1937,0.6040974099769294,0.4020487049884647,1.0
10-90%,1904,1913,0.8,0.5,1.0
10-90%,1902,1939,0.8000000000000003,0.5000000000000001,0.5
