hour,price_eur_mwh,wind_mw,storage_p_mw_10_90,soc_10_90,storage_p_mw_20_80,soc_20_80,storage_p_mw_0_100,soc_0_100,storage_p_mw_20_100,soc_20_100,storage_p_mw_0_80,soc_0_80
62,185.05,70.53421072022356,-70.53421072022356,0.6757154976028243,-70.53421072022356,0.5757154976028244,-70.53421072022356,0.7009727077443412,-70.53421072022356,0.7757154976028243,-70.53421072022356,0.5757154976028247
63,196.54,42.70163550578839,0.0,0.9,0.0,0.8,-23.5055192550033,0.9252572101415167,0.0,1.0,1.0845033452762633e-13,0.8000000000000004
64,245.74,69.27374505843576,0.0,0.9,-1.0845033452762633e-13,0.8,0.0,1.0,0.0,1.0,0.0,0.8
65,261.99,68.2910268926002,78.94541539069863,0.9000000000000002,21.709061543024077,0.8000000000000004,136.1817692383732,1.0,78.94541539069861,1.0,78.94541539069856,0.8
66,274.34,66.47745711856392,150.0,0.6241424022194036,150.0,0.7241424022194036,150.0,0.5241424022194038,150.0,0.7241424022194036,150.0,0.5241424022194038
67,259.9,117.87696357983384,0.0,0.09999999999999992,0.0,0.19999999999999984,0.0,0.0,0.0,0.19999999999999984,0.0,0.0
68,240.2,179.02511713257311,0.0,0.09999999999999992,0.0,0.19999999999999984,0.0,0.0,0.0,0.19999999999999984,0.0,0.0
69,187.99,181.7555537361857,-101.58835306531388,0.09999999999999998,-38.69126479898535,0.19999999999999996,-150.0,0.0,-101.58835306531383,0.19999999999999996,-101.58835306531395,0.0
70,203.39,124.36500950959213,0.0,0.42303038460271153,0.0,0.3230303846027113,0.0,0.47696961539728866,0.0,0.5230303846027113,0.0,0.3230303846027118
71,195.94,163.61009457678966,0.0,0.42303038460271153,0.0,0.3230303846027113,0.0,0.47696961539728866,0.0,0.5230303846027113,0.0,0.3230303846027118
72,189.1,166.6300580211425,0.0,0.42303038460271153,0.0,0.3230303846027113,-14.485441331642273,0.47696961539728866,0.0,0.5230303846027113,0.0,0.3230303846027118
73,185.05,181.95960035789403,-150.0,0.42303038460271136,-150.0,0.32303038460271133,-150.0,0.5230303846027113,-150.0,0.5230303846027113,-150.0,0.3230303846027117
74,189.2,162.10747413661082,0.0,0.9,0.0,0.8,0.0,1.0,0.0,1.0,0.0,0.8000000000000004
75,202.24,151.13588080586794,0.0,0.9,0.0,0.8,0.0,1.0,0.0,1.0,1.0845033452762633e-13,0.8000000000000004
76,236.7,135.21799286715978,0.0,0.9,0.0,0.8,0.0,1.0,0.0,1.0,0.0,0.8
77,264.89,109.37248437969112,78.94541539069859,0.9,21.709061543023967,0.8,136.1817692383732,1.0,78.94541539069861,1.0,78.94541539069856,0.8
78,274.17,104.54377262536892,150.0,0.6241424022194036,150.0,0.7241424022194036,150.0,0.5241424022194038,150.0,0.7241424022194036,150.0,0.5241424022194038
79,244.91,56.250725573873034,0.0,0.09999999999999992,0.0,0.19999999999999984,0.0,0.0,0.0,0.19999999999999984,0.0,0.0
80,231.99,56.01922667360426,0.0,0.09999999999999998,0.0,0.19999999999999996,0.0,0.0,0.0,0.19999999999999996,0.0,0.0
81,216.29,69.43115699800823,0.0,0.09999999999999998,0.0,0.19999999999999996,0.0,0.0,0.0,0.19999999999999996,0.0,0.0
82,208.09,98.97847921793354,0.0,0.09999999999999998,0.0,0.19999999999999996,0.0,0.0,0.0,0.19999999999999996,0.0,0.0
83,197.46,84.64556451442323,-84.64556451442323,0.09999999999999998,-24.0123354583102,0.19999999999999996,-84.64556451442323,0.0,-84.64556451442323,0.19999999999999996,-84.64556451442323,0.0
