cycle_idx,dod,sigma_bar,count,s_sigma,phi_prime,expected_sg,measured_sg,ratio,note
296,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
297,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
298,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
299,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
300,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
301,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
302,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
303,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
304,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
305,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
306,0.276314,0.761843,1,1.313,3.03667e-05,1.99358e-05,1.99358e-05,1,
307,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
308,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
309,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
310,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
311,0.140807,0.829596,1,1.40886,2.69233e-05,1.89656e-05,1.89656e-05,1,
312,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
313,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
314,0.281024,0.470651,1,0.969938,3.04585e-05,1.47714e-05,1.47714e-05,1,
315,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
316,0.26253,0.231265,1,0.756173,3.00906e-05,1.13768e-05,1.13768e-05,1,
317,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
318,0.466572,0.436575,1,0.936167,3.33439e-05,1.56077e-05,1.56077e-05,1,
319,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
320,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
321,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
322,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
323,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
324,1.89478e-16,0.484642,1,,,,,,skip_zero_dod
325,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
326,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
327,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
328,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
329,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
330,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
331,0.8,0.5,0.5,1,3.67132e-05,1.83566e-05,1.83566e-05,1,
