cycle_idx,dod,sigma_bar,measured,expected,ratio,pass
409,0.8,0.5,2.8997261203575926,3.456988014095165e-13,8388013231560.392,False
410,0.8000000000000004,0.5000000000000002,1.877810366485668,3.456988014095166e-13,5431926170496.622,False
411,0.8000000000000004,0.5000000000000002,2.2417418314063116,3.456988014095166e-13,6484667642080.519,False
412,0.8000000000000004,0.5000000000000002,1.3319131691047021,3.456988014095166e-13,3852813963120.777,False
413,0.8000000000000004,0.5000000000000002,2.6900901976875735,3.456988014095166e-13,7781601170496.621,False
414,0.8000000000000004,0.5000000000000002,2.1310610705675233,3.456988014095166e-13,6164502340993.242,False
415,0.3241368382445838,0.4922073823574682,2.034379099051413,2.9183033810632e-13,6971102155630.732,False
416,0.8000000000000004,0.5000000000000002,2.9385475875187073,3.456988014095166e-13,8500311761387.013,False
417,0.32537304819187296,0.3620424047913998,2.1310610705675233,2.5505535741122635e-13,8355288405613.094,False
418,0.8000000000000004,0.5000000000000002,1.8555078125828328,3.456988014095166e-13,5367411761387.013,False
419,0.8000000000000004,0.5000000000000002,2.342479580746443,3.456988014095166e-13,6776070877872.467,False
420,0.8000000000000004,0.5000000000000002,1.3319131691047021,3.456988014095166e-13,3852813963120.777,False
421,0.8000000000000004,0.5000000000000002,2.6900901976875735,3.456988014095166e-13,7781601170496.621,False
422,0.4696458120262744,0.6651770939868628,3.4761061694113105,3.732550032952445e-13,9312952642892.537,False
423,0.8000000000000004,0.5000000000000002,0.7179199183426307,3.456988014095166e-13,2076720877872.466,False
424,0.8000000000000004,0.5000000000000002,2.6279758502297903,3.456988014095166e-13,7601923522774.024,False
425,0.8,0.5,1.4573330948043208,3.456988014095165e-13,4215615121783.3027,False
426,0.8000000000000004,0.5000000000000002,0.8468872424304433,3.456988014095166e-13,2449783565859.739,False
427,0.8000000000000004,0.5000000000000002,3.313972708980106,3.456988014095166e-13,9586300836069.016,False
428,0.8000000000000004,0.5000000000000002,1.3319131691047021,3.456988014095166e-13,3852813963120.777,False
429,0.8000000000000004,0.5000000000000002,2.2417418314063116,3.456988014095166e-13,6484667642080.519,False
430,0.5,0.35,3.4761061694113105,2.719610294271e-13,12781633371273.48,False
431,0.8,0.5,3.4004438878767487,3.456988014095165e-13,9836435284161.041,False
432,0.8000000000000004,0.5000000000000002,2.162118244296415,3.456988014095166e-13,6254341164854.542,False
433,0.49087286464540986,0.6545635676772954,3.4761061694113105,3.7208259940284906e-13,9342297046381.83,False
434,0.8000000000000004,0.5000000000000002,2.319780896286074,3.456988014095166e-13,6710410585248.311,False
435,0.8,0.5,2.6996406920432716,3.456988014095165e-13,7809227804771.194,False
436,0.5710020163727836,0.3855010081863918,3.339914062649099,2.889592541203734e-13,11558425677752.379,False
437,0.8000000000000004,0.5000000000000002,2.130006322518878,3.456988014095166e-13,6161451280230.681,False
438,0.12202003360381507,0.8389899831980925,3.4004438878767487,3.5156953745806054e-13,9672180111117.832,False
439,0.5041671059209947,0.647916447039503,3.430708800490573,3.7128635680847297e-13,9240061579370.918,False
440,0.8000000000000004,0.5000000000000002,2.7832617188742486,3.456988014095166e-13,8051117642080.518,False
441,0.8000000000000004,0.5000000000000002,2.1310610705675233,3.456988014095166e-13,6164502340993.242,False
442,0.8000000000000004,0.5000000000000002,2.9385475875187073,3.456988014095166e-13,8500311761387.013,False
444,0.8,0.5,2.087446289155687,3.456988014095165e-13,6038338231560.392,False
445,0.8000000000000004,0.5000000000000002,1.1106404417056652,3.456988014095166e-13,3212740215405.013,False
446,0.04725338111627063,0.8763733094418646,1.6813063735547336,3.0856207528522614e-13,5448843225469.5625,False
447,0.8000000000000004,0.5000000000000002,1.6699570313245495,3.456988014095166e-13,4830670585248.312,False
448,0.40090473342634697,0.3004523667131735,3.3058660359585454,2.4831424964175366e-13,13313235308597.729,False
449,0.8000000000000004,0.5000000000000002,1.8085259214319616,3.456988014095166e-13,5231507642080.519,False
450,0.8000000000000004,0.5000000000000002,2.6900901976875735,3.456988014095166e-13,7781601170496.621,False
451,0.8,0.5,2.319780896286074,3.456988014095165e-13,6710410585248.3125,False
452,0.8000000000000004,0.5000000000000002,2.0864559627618533,3.456988014095166e-13,6035473522774.024,False
453,0.8000000000000004,0.5000000000000002,3.3058660359585454,3.456988014095166e-13,9562850731560.389,False
454,0.8,0.5,2.087446289155687,3.456988014095165e-13,6038338231560.392,False
455,0.526522436204665,0.36326121810233253,1.7928820721317664,2.7829392833578663e-13,6442404557128.868,False
456,0.8,0.5,2.6900901976875735,3.456988014095165e-13,7781601170496.623,False
