t,subgrad_t,fd_partial_t,ratio,pass
3392,-3.249119324807624,0.0,-0.0,False
3393,-3.249119324807624,0.0,-0.0,False
3394,-3.249119324807624,0.0,-0.0,False
3395,-3.249119324807624,0.0,-0.0,False
3396,-3.249119324807624,0.0,-0.0,False
3397,-3.249119324807624,0.0,-0.0,False
3398,-3.249119324807624,0.0,-0.0,False
3399,-3.249119324807624,0.0,-0.0,False
3401,-3.249119324807624,5.340178695426023e-08,-1.6435772778958212e-08,False
3402,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
3403,3.7030930140149962,0.0,0.0,False
3405,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
3406,-3.249119324807624,0.0,-0.0,False
3407,-3.249119324807624,0.0,-0.0,False
3408,-3.249119324807624,0.0,-0.0,False
3409,-3.249119324807624,0.0,-0.0,False
3410,-3.249119324807624,0.0,-0.0,False
3411,-3.249119324807624,0.0,-0.0,False
3412,-3.249119324807624,8.293487865213e-08,-2.5525340980525688e-08,False
3413,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
3414,3.7030930140149962,0.0,0.0,False
3434,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
3435,-3.249119324807624,0.0,-0.0,False
3438,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
3439,3.7030930140149962,0.0,0.0,False
3443,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
3444,-3.249119324807624,0.0,-0.0,False
3447,-3.249119324807624,5.340178695426023e-08,-1.6435772778958212e-08,False
3453,3.7030930140149962,5.340178695426023e-08,1.4420860278732381e-08,False
3454,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
3457,-3.249119324807624,-4.8528136185714554e-08,1.4935781463978038e-08,False
3458,-3.249119324807624,0.0,-0.0,False
3460,-3.249119324807624,5.340178695426023e-08,-1.6435772778958212e-08,False
3461,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
3462,3.7030930140149962,0.0,0.0,False
3469,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
3470,-3.249119324807624,0.0,-0.0,False
3472,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
3473,3.7030930140149962,0.0,0.0,False
3478,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
3479,3.7030930140149962,5.8694749641326205e-08,1.5850195881979137e-08,False
3483,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
3484,3.7030930140149962,1.1751379889318736e-07,3.173395819344425e-08,False
3485,3.7030930140149962,0.0,0.0,False
3491,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
3492,-3.249119324807624,0.0,-0.0,False
3498,-3.249119324807624,5.340178695426023e-08,-1.6435772778958212e-08,False
3499,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
3500,3.7030930140149962,0.0,0.0,False
3504,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
3505,-3.249119324807624,0.0,-0.0,False
3506,-3.249119324807624,8.293487865213e-08,-2.5525340980525688e-08,False
3507,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
3508,3.7030930140149962,0.0,0.0,False
3509,3.7030930140149962,0.0,0.0,False
3510,3.7030930140149962,0.0,0.0,False
3517,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
3518,-3.249119324807624,0.0,-0.0,False
3529,3.7030930140149962,5.4406857528770114e-08,1.4692274086245727e-08,False
3530,3.7030930140149962,5.2007851794252935e-08,1.4044435718309052e-08,False
3531,3.7030930140149962,7.85857099091028e-08,2.1221640831510735e-08,False
3532,3.7030930140149962,0.0,0.0,False
3533,3.7030930140149962,0.0,0.0,False
3534,3.7030930140149962,0.0,0.0,False
3535,3.7030930140149962,0.0,0.0,False
3537,-3.249119324807624,-3.952558297673492e-08,1.2165014277853637e-08,False
3538,-3.249119324807624,0.0,-0.0,False
3540,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
3541,-3.249119324807624,-7.91803327305704e-08,2.4369782951956853e-08,False
3542,-3.249119324807624,0.0,-0.0,False
3545,-3.249119324807624,5.340178695426023e-08,-1.6435772778958212e-08,False
3546,3.7030930140149962,8.293487865213e-08,2.2396110045912593e-08,False
3547,-3.249119324807624,-1.6327583369536713e-08,5.0252335286280836e-09,False
3561,3.7030930140149962,1.638428354707594e-08,4.42448609448015e-09,False
