cycle_idx,dod,sigma_bar,measured_discharge,expected_discharge,ratio_discharge,measured_charge,expected_charge,ratio_charge,classification,pct_overwritten,n_discharge_timesteps,n_carry_dominant,n_carry_own
333,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,2,0,0
334,0.4968078051772685,0.6515960974113657,3.7030930140149962,3.9819665818317476,0.9299658693548185,3.249119324807624,3.493804914648924,0.9299658693548185,PASS_OVERWRITE,100.0,1,1,0
335,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,1,0,0
336,0.8,0.5,3.7030930140149962,3.703093014014995,1.0000000000000004,3.249119324807624,3.249119324807623,1.0000000000000004,PASS_FORMULA,0.0,1,0,0
337,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,7,0,0
338,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,1,0,0
339,0.2547130411773175,0.7726434794113413,3.7030930140149962,4.008416407531182,0.9238294222769543,3.249119324807624,3.5170121739569065,0.9238294222769544,PASS_OVERWRITE,100.0,2,2,0
340,0.4051725484703786,0.6974137257648106,3.7030930140149962,4.02701701823689,0.9195622956756924,3.249119324807624,3.5333324779483024,0.9195622956756926,PASS_OVERWRITE,100.0,1,1,0
341,0.8,0.5,3.7030930140149962,3.703093014014995,1.0000000000000004,3.249119324807624,3.249119324807623,1.0000000000000004,PASS_FORMULA,0.0,4,0,0
342,0.02431202317340194,0.887843988413299,3.7030930140149962,2.970740719665298,1.246521781420295,3.249119324807624,2.606548375837891,1.246521781420295,PASS_OVERWRITE,100.0,1,1,0
343,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.2491193248076238,3.249119324807624,0.9999999999999999,PASS_FORMULA,0.0,7,0,0
344,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,2,0,0
345,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,2,0,0
346,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,1,0,0
347,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,2,0,0
348,0.5403463699082078,0.6298268150458964,3.7030930140149962,3.951650873610697,0.9371002480873041,3.249119324807624,3.4672057033805443,0.9371002480873042,PASS_OVERWRITE,100.0,2,2,0
349,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,3,0,0
350,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,2,0,0
351,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.2491193248076238,3.249119324807624,0.9999999999999999,PASS_FORMULA,0.0,1,0,0
352,0.8000000000000004,0.5000000000000002,3.7030930140149962,3.7030930140149962,1.0,3.249119324807624,3.249119324807624,1.0,PASS_FORMULA,0.0,2,0,0
