Hour [h],Power wind farm [W]
3053,83210821.08688019
3054,37061587.63191095
3055,27514674.713717226
3056,11470716.11170441
3057,10700245.980916735
3058,14585895.690988515
3059,19486490.558023695
3060,18908791.924241412
3061,15569390.004112704
3062,17696092.820055243
3063,11052594.301387789
3064,5884068.148381649
3065,1934749.6160867286
3066,3642259.3626678754
3067,25966159.35315482
3068,42261260.55969108
3069,66442077.4229396
3070,50776924.4547703
3071,49426400.423689544
3072,69657259.42854819
3073,70309949.12810911
3074,78080168.87486602
3075,90477671.93040599
3076,98448657.159461
3077,131670426.79857711
3078,108982679.03894593
3079,117267230.87068975
3080,35199597.441048294
3081,42552554.93824328
3082,68482785.62144
3083,74894893.41723095
3084,86161238.77234396
3085,60286807.660560295
3086,36365030.0630876
3087,32693189.101039164
3088,35051751.18607573
3089,52187433.41436458
3090,57831763.8787774
3091,67476029.48186617
3092,77536336.4848036
3093,80428600.48143874
3094,76390173.79225357
3095,66638983.463169955
3096,76321810.21793461
3097,124622621.5623837
3098,119404603.3657489
3099,119292522.28826152
3100,119475145.61606348
3101,131657110.70431557
3102,137096180.48901647
3103,183649479.60728735
3104,221853366.16754293
3105,201479745.6311887
3106,185521667.90298912
3107,244010403.87192944
3108,264979712.14454296
3109,271290730.64527273
3110,254092730.4261632
3111,310051681.54932016
3112,271581566.8838049
3113,270912556.066863
3114,124908419.52406694
3115,92230745.27951397
3116,136181596.3776997
3117,119289821.8878397
3118,161549931.8069441
3119,147424983.18748632
3120,145511101.7923173
3121,132522677.52217212
3122,93738667.83139396
3123,113491369.70974895
3124,79950940.69618754
3125,100561179.34381416
3126,114326535.68819012
3127,117311049.41828641
3128,162528709.9491877
3129,97366633.97728579
3130,222004554.25893065
3131,142578791.46869186
3132,196243550.95012286
3133,241878676.5845576
3134,278474595.4242219
3135,344280397.3260384
3136,277377604.97706586
3137,198518118.8191498
3138,248604508.93114808
3139,223496588.73261774
3140,188776199.09052104
3141,126234096.39039546
3142,106423254.4956527
3143,101640479.30746776
3144,72446172.76310736
3145,100151881.48263346
3146,99216484.7962271
3147,129880387.78571004
3148,170436336.86185387
3149,162168142.93035227
3150,172430965.2855008
3151,195240418.67832053
3152,162168142.93035227
3153,115400890.05558561
3154,149840396.20365223
3155,160125267.04393876
3156,276766932.6774349
3157,249104919.70324522
3158,278204174.7364208
3159,258696521.74276257
3160,278252699.41869164
3161,246687434.22268784
3162,144325972.42309642
3163,132035682.16528887
3164,117103822.85279958
3165,104577734.4685033
3166,109058876.61786136
3167,84553732.55045465
3168,87452560.31340776
3169,61555419.914605044
3170,58853709.04557477
3171,64282040.537497565
3172,116789310.27027017
3173,90610033.20492427
3174,77040036.13497628
3175,80318140.10146125
3176,88136263.7589145
3177,124844893.88430488
3178,170770997.57178873
3179,202667366.94917354
3180,223232917.6478508
3181,238454132.51950568
3182,214016569.90180874
3183,282809045.9083671
3184,333185958.9840223
3185,332513401.19532114
3186,337744349.6349863
3187,304485830.1588991
3188,284523979.6188969
3189,304662591.80634916
3190,335982366.1908683
3191,296931269.435163
3192,321373494.2183379
3193,252946926.9240725
3194,204209085.0571296
3195,199063874.53062773
3196,184548063.7916166
3197,192830343.94333452
3198,174538536.15683848
3199,167677950.68637934
3200,226638679.6873184
3201,199514277.5747396
3202,188548314.13215744
3203,225170854.96646127
3204,269474690.3625372
3205,201434556.67785737
3206,204897058.50959402
3207,226330078.37645656
3208,159352181.14183033
3209,86414515.43983
3210,63507898.732632816
3211,31988824.434296995
3212,23277801.587725244
3213,28861722.267556697
3214,40356714.446339965
3215,41810726.17263703
3216,36703942.815576054
3217,48944873.917178355
3218,40514333.13738421
3219,31924772.136992887
3220,21242685.812298093
3221,19904668.936106015
3222,18568021.48690546
3223,10640952.979358183
3224,7706061.298157396
3225,11153001.368889531
3226,25081271.099108722
3227,30307518.29312034
3228,20881533.3683211
3229,5965599.177227335
